Student Number,Gender,Race Ethnicity,Parental Education,Lunch,Test Preparation,Math Score,Reading Score,Writing Score,Science Score,Total Score,Grade
std-243,Male,group E,some college,1,0,74,77,63,68,282,B
std-244,Male,group C,some college,0,0,52,66,,,263,B
std-245,Male,group D,some college,1,1,51,,61,80,265,B
std-246,Male,group D,bachelor's degree,1,1,,77,77,49,260,B
std-247,Male,group E,bachelor's degree,1,,39,79,62,49,229,C
std-248,Male,group C,bachelor's degree,,0,43,100,73,42,258,B
std-249,Male,group C,,0,1,24,52,54,91,221,C
std-250,Male,,high school,0,0,26,63,96,42,227,C
std-251,,group D,some high school,1,1,68,53,100,41,262,B
std-252,Male,group B,high school,1,0,72,100,100,46,318,B
std-253,Male,group A,high school,0,1,43,81,89,68,281,B
std-254,Male,group E,high school,0,0,68,41,42,54,205,C
std-255,Male,group C,high school,1,0,44,70,59,65,238,C
std-256,Male,group C,some college,0,1,83,39,56,36,214,C
std-257,Male,group E,high school,1,1,60,80,74,71,285,B
std-258,Male,group A,some college,1,0,82,100,75,71,328,A
std-259,Male,group E,bachelor's degree,1,0,22,65,48,50,185,D
std-260,Male,group E,master's degree,1,1,83,52,92,77,304,B
std-261,Male,group D,some high school,0,0,99,78,81,97,355,A
std-262,Male,group B,bachelor's degree,1,0,79,73,94,78,324,A
std-263,Male,group C,high school,1,0,55,52,87,54,248,C
std-264,Male,group E,associate's degree,0,0,39,89,55,77,260,B
std-265,Male,group D,some college,1,1,69,76,60,73,278,B
std-266,Male,group E,high school,1,0,50,65,59,64,238,C
std-267,Male,group D,associate's degree,0,0,89,74,70,67,300,B
std-268,Male,group C,associate's degree,1,1,60,93,63,47,263,B
std-269,Male,group D,associate's degree,1,0,53,94,92,63,302,B
std-270,Male,group C,some high school,1,0,72,98,73,77,320,A
std-271,Male,group A,high school,1,1,0,85,99,47,231,C
std-272,Male,group E,some high school,0,0,83,78,78,86,325,A
std-273,Male,group D,bachelor's degree,1,0,72,60,75,54,261,B
std-274,Male,group A,master's degree,1,0,49,88,75,42,254,B
std-275,Male,group B,high school,1,0,16,50,58,40,164,D
std-276,Male,group B,master's degree,1,0,78,60,50,75,263,B
std-277,Male,group D,bachelor's degree,0,1,41,66,52,45,204,C
std-278,Male,group B,associate's degree,1,0,33,65,61,59,218,C
std-279,Male,group D,some college,0,0,58,64,70,38,230,C
std-280,Male,group C,bachelor's degree,0,0,23,72,90,55,240,C
std-281,Male,group B,high school,1,0,46,92,52,32,222,C
std-282,Male,group D,high school,1,1,20,74,34,29,157,D
std-283,Male,group D,bachelor's degree,1,0,17,55,44,31,147,Fail
std-284,Male,group D,associate's degree,1,0,25,71,59,69,224,C
std-285,Male,group C,bachelor's degree,1,1,70,48,79,65,262,B
std-286,Male,group D,some college,0,0,46,69,70,44,229,C
std-287,Male,group E,some college,1,1,41,61,69,44,215,C
std-288,Male,group C,high school,1,0,69,36,65,94,264,B
std-289,Male,group B,bachelor's degree,1,0,61,40,72,44,217,C
std-290,Male,group B,high school,1,0,68,100,100,62,330,A
std-291,Male,group B,master's degree,0,0,68,65,76,59,268,B
std-292,Male,group D,associate's degree,1,0,41,35,66,37,179,D
std-293,Male,group D,bachelor's degree,1,1,24,33,47,11,115,Fail
std-294,Male,group E,bachelor's degree,0,0,48,94,100,49,291,B
std-295,Male,group D,master's degree,1,1,54,86,87,48,275,B
std-296,Male,group C,associate's degree,1,1,37,100,96,64,297,B
std-297,Male,group B,associate's degree,1,0,40,59,75,39,213,C
std-298,Male,group C,bachelor's degree,1,0,49,98,79,69,295,B
std-299,Male,group B,bachelor's degree,0,0,73,79,56,66,274,B
std-300,Male,group C,high school,0,0,67,100,64,80,311,B
std-301,Male,group D,master's degree,1,0,44,17,57,64,182,D
std-302,Male,group C,some high school,0,0,47,85,65,25,222,C
std-303,Male,group D,bachelor's degree,1,0,75,96,100,100,371,A
std-304,Male,group A,associate's degree,0,1,39,82,53,73,247,C
std-305,Male,group B,high school,0,1,44,76,53,10,183,D
std-306,Male,group B,high school,1,0,37,100,70,87,294,B
std-307,Male,group A,bachelor's degree,1,1,58,69,86,50,263,B
std-308,Male,group E,bachelor's degree,1,0,72,62,48,82,264,B
std-309,Male,group E,some college,0,0,26,76,85,59,246,C
std-310,Male,group C,associate's degree,0,0,25,44,56,39,164,D
std-311,Male,group C,some high school,1,0,59,100,69,75,303,B
std-312,Male,group C,some high school,1,0,98,100,95,67,360,A
std-313,Male,group B,bachelor's degree,0,1,63,100,55,38,256,B
std-314,Male,group E,high school,1,0,64,99,77,89,329,A
std-315,Male,group C,some college,0,0,25,51,95,48,219,C
std-316,Male,group C,associate's degree,1,1,75,67,80,49,271,B
std-317,Male,group B,some college,0,1,17,68,69,23,177,D
std-318,Male,group D,bachelor's degree,0,1,69,57,79,64,269,B
std-319,Male,group D,master's degree,0,1,29,93,69,60,251,B
std-320,Male,group D,some college,1,0,37,44,62,69,212,C
std-321,Male,group D,associate's degree,0,0,49,62,16,75,202,C
std-322,Male,group E,associate's degree,0,1,98,60,70,69,297,B
std-323,Male,group D,master's degree,1,0,30,63,73,43,209,C
std-324,Male,group E,master's degree,0,1,71,100,73,40,284,B
std-325,Male,group C,high school,0,0,39,58,34,46,177,D
std-326,Male,group D,some high school,0,1,19,46,67,9,141,Fail
std-327,Male,group B,master's degree,1,1,35,95,57,57,244,C
std-328,Male,group C,some high school,1,0,42,100,100,80,322,A
std-329,Male,group B,associate's degree,1,1,86,71,59,47,263,B
std-330,Male,group B,bachelor's degree,1,1,46,94,100,64,304,B
std-331,Male,group D,bachelor's degree,0,1,77,75,63,32,247,C
std-332,Male,group E,some college,1,1,79,44,70,78,271,B
std-333,Male,group B,some college,1,1,62,83,55,58,258,B
std-334,Male,group C,bachelor's degree,1,0,57,92,96,79,324,A
std-335,Male,group A,some high school,0,1,30,59,48,42,179,D
std-336,Male,group C,some high school,0,1,45,74,59,100,278,B
std-337,Male,group A,high school,1,0,77,96,58,90,321,A
std-338,Male,group D,high school,1,1,43,35,80,82,240,C
std-339,Male,group A,some high school,0,0,31,78,34,47,190,D
std-340,Male,group C,high school,1,0,30,100,87,54,271,B
std-341,Male,group C,high school,0,0,61,89,79,80,309,B
std-342,Male,group D,high school,1,1,61,89,86,71,307,B
std-343,Male,group E,some high school,1,0,92,70,45,69,276,B
std-344,Male,group B,some college,1,0,50,78,54,69,251,B
std-345,Male,group B,bachelor's degree,0,1,75,86,63,56,280,B
std-346,Male,group D,associate's degree,1,0,43,51,83,64,241,C
std-347,Male,group A,high school,1,0,64,71,69,64,268,B
std-348,Male,group C,associate's degree,1,0,19,17,83,63,182,D
std-349,Male,group C,associate's degree,1,0,17,82,65,89,253,B
std-350,Male,group B,high school,0,1,68,100,77,89,334,A
std-351,Male,group C,high school,0,0,54,79,36,94,263,B
std-352,Male,group C,associate's degree,0,0,79,91,83,66,319,B
std-353,Male,group D,high school,0,1,51,44,67,82,244,C
std-354,Male,group D,high school,1,0,24,81,53,45,203,C
std-355,Male,group B,associate's degree,0,1,79,67,76,54,276,B
std-356,Male,group B,high school,1,0,19,78,56,75,228,C
std-357,Male,group B,some college,1,0,52,76,68,59,255,B
std-358,Male,group D,some college,0,0,28,75,30,32,165,D
std-359,Male,group C,high school,0,0,86,66,43,12,207,C
std-360,Male,group C,some high school,1,0,50,100,76,62,288,B
std-361,Male,group C,associate's degree,1,1,50,55,66,79,250,B
std-362,Male,group C,high school,1,0,20,47,54,61,182,D
std-363,Male,group D,bachelor's degree,1,1,17,81,52,90,240,C
std-364,Male,group B,bachelor's degree,1,0,57,73,87,91,308,B
std-365,Male,group B,associate's degree,1,1,47,60,100,76,283,B
std-366,Male,group C,some college,1,1,94,63,72,97,326,A
std-367,Male,group D,associate's degree,1,0,46,31,69,49,195,D
std-368,Male,group D,some high school,1,1,70,84,96,81,331,A
std-369,Male,group C,some college,0,1,31,26,76,54,187,D
std-370,Male,group B,bachelor's degree,1,0,87,78,100,47,312,B
std-371,Male,group B,master's degree,0,0,24,54,55,83,216,C
std-372,Male,group D,high school,0,1,71,97,86,83,337,A
std-373,Male,group C,high school,1,0,59,34,93,46,232,C
std-374,Male,group C,some college,1,0,36,43,26,45,150,D
std-375,Male,group C,associate's degree,0,1,59,65,51,58,233,C
std-376,Male,group D,associate's degree,0,1,25,88,91,89,293,B
std-377,Male,group C,some high school,1,1,6,60,79,38,183,D
std-378,Male,group E,some high school,1,1,43,82,85,35,245,C
std-379,Male,group A,some college,1,0,60,63,95,53,271,B
std-380,Male,group D,bachelor's degree,0,1,70,100,78,89,337,A
std-381,Male,group C,high school,1,0,51,42,70,27,190,D
std-382,Male,group D,high school,0,1,67,49,38,58,212,C
std-383,Male,group B,some high school,1,0,23,96,67,38,224,C
std-384,Male,group E,master's degree,1,0,72,88,72,43,275,B
std-385,Male,group C,associate's degree,1,0,13,24,53,31,121,Fail
std-386,Male,group E,bachelor's degree,1,1,89,75,52,86,302,B
std-387,Male,group D,some college,1,1,28,17,52,58,155,D
std-388,Male,group E,some high school,1,1,18,87,100,26,231,C
std-389,Male,group D,some college,1,1,45,76,75,51,247,C
std-390,Male,group A,some high school,0,0,38,100,72,44,254,B
std-391,Male,group C,bachelor's degree,1,0,20,89,88,96,293,B
std-392,Male,group C,associate's degree,0,1,48,48,87,71,254,B
std-393,Male,group C,some college,1,0,19,76,61,57,213,C
std-394,Male,group D,associate's degree,0,0,53,72,63,67,255,B
std-395,Male,group D,master's degree,0,0,30,21,48,40,139,Fail
std-396,Male,group D,some high school,0,1,89,99,60,62,310,B
std-397,Male,group D,master's degree,1,0,36,100,61,75,272,B
std-398,Male,group D,bachelor's degree,1,0,81,47,83,85,296,B
std-399,Male,group D,some high school,1,1,99,100,44,17,260,B
std-400,Male,group D,bachelor's degree,1,0,27,50,51,98,226,C
std-401,Male,group B,associate's degree,0,0,60,100,100,56,316,B
std-402,Male,group D,bachelor's degree,0,0,48,71,91,98,308,B
std-403,Male,group C,bachelor's degree,0,1,64,74,49,86,273,B
std-404,Male,group E,bachelor's degree,1,0,73,73,82,29,257,B
std-405,Male,group E,high school,0,1,25,40,69,52,186,D
std-406,Male,group D,associate's degree,1,0,28,25,45,37,135,Fail
std-407,,group C,high school,1,0,54,55,66,100,275,B
std-408,Male,group A,,0,0,17,59,51,61,188,D
std-409,Male,group C,associate's degree,,1,85,46,76,90,297,B
std-410,Male,group C,bachelor's degree,1,,27,81,62,37,207,C
std-411,Male,group B,high school,1,0,,85,44,95,275,B
std-412,Male,group A,associate's degree,0,1,75,,69,26,247,C
std-413,Male,group E,associate's degree,0,1,27,35,,43,155,D
std-414,Male,group B,high school,1,0,72,61,37,47,217,C
std-415,Male,group E,high school,0,0,100,73,51,100,,A
std-416,Male,group D,associate's degree,0,1,54,44,80,50,228,C
std-417,Male,group B,associate's degree,1,1,50,77,91,46,264,B
std-418,Male,group E,high school,0,0,55,62,81,45,243,C
std-419,Male,group E,associate's degree,1,1,37,95,72,57,261,B
std-420,Male,group C,some college,1,0,98,60,96,50,304,B
std-421,Male,group B,associate's degree,0,0,25,84,60,50,219,C
std-422,Male,group B,high school,0,1,53,59,30,48,190,D
std-423,Male,group C,some high school,0,1,77,39,67,57,240,C
std-424,Male,group C,master's degree,1,1,12,70,73,59,214,C
std-425,Male,group D,associate's degree,0,1,57,67,47,95,266,B
std-426,Male,group C,associate's degree,1,0,46,61,76,86,269,B
std-427,Male,group E,some high school,1,0,30,76,70,47,223,C
std-428,Male,group D,some high school,1,0,45,65,55,81,246,C
std-429,Male,group C,high school,0,1,77,93,85,81,336,A
std-430,Male,group B,some college,0,0,17,48,73,57,195,D
std-431,Male,group A,master's degree,0,1,35,74,100,94,303,B
std-432,Male,group A,some college,0,1,91,98,66,100,355,A
std-433,Male,group C,high school,1,0,65,47,34,100,246,C
std-434,Male,group B,some college,0,0,74,98,88,83,343,A
std-435,Male,group A,high school,1,0,39,96,59,53,247,C
std-436,Male,group A,master's degree,1,0,34,48,52,80,214,C
std-437,Male,group C,some college,0,1,54,58,78,100,290,B
std-438,Male,group D,master's degree,1,0,67,54,81,64,266,B
std-439,Male,group B,high school,0,0,72,100,98,82,352,A
std-440,Male,group D,associate's degree,0,0,72,90,53,94,309,B
std-441,Male,group D,high school,1,1,54,86,28,88,256,B
std-442,Male,group E,associate's degree,1,0,34,53,54,57,198,D
std-443,Male,group E,some college,0,0,50,56,70,72,248,C
std-444,Male,group C,high school,0,0,53,73,82,65,273,B
std-445,Male,group B,associate's degree,0,0,71,44,64,54,233,C
std-446,Male,group B,associate's degree,1,0,48,92,73,54,267,B
std-447,Male,group C,master's degree,1,1,60,95,59,75,289,B
std-448,Male,group C,some high school,0,1,36,64,64,55,219,C
std-449,Male,group B,some college,0,0,97,64,58,34,253,B
std-450,Male,group C,some college,1,1,49,98,84,92,323,A
std-451,Male,group B,bachelor's degree,1,1,78,81,51,40,250,B
std-452,Male,group D,associate's degree,1,0,21,64,53,55,193,D
std-453,Male,group B,some college,1,0,96,84,82,100,362,A
std-454,Male,group D,associate's degree,1,1,77,60,29,54,220,C
std-455,Male,group C,high school,1,1,43,100,82,80,305,B
